21_JUMP_STREET.srt 	21_JUMP_STREET_DVS25 	00:03:10,00 --> 00:03:15,50 	the nerd wipes his own tears and stands.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS351 	01:07:42,00 --> 01:07:49,50 	later, she walks toward someone's house where guests stand in the driveway or walk into the backyard.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS414 	01:19:30,00 --> 01:19:37,50 	various action figures stand motionless in the dimly lit room.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS422 	01:21:36,00 --> 01:21:41,50 	standing with her back to the bed,
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS424 	01:21:43,00 --> 01:21:49,50 	she walks upstairs into the kitchen where someone's sister stands at the sink.
ZOMBIELAND.srt 	ZOMBIELAND_DVS97 	00:08:09,00 --> 00:08:16,50 	the narrator stands up a motorbike for cover and points his shotgun over the seat.
ZOMBIELAND.srt 	ZOMBIELAND_DVS519 	01:01:16,00 --> 01:01:25,50 	affecting the awkwardness of a middle schooler, someone plunks her wrists on someone's shoulders and stands at arm's length from him.
ZOMBIELAND.srt 	ZOMBIELAND_DVS702 	01:17:07,00 --> 01:17:13,50 	someone calmly stands inside.
ZOOKEEPER.srt 	ZOOKEEPER_DVS32 	00:05:15,00 --> 00:05:20,50 	he stands then stumbles back over.
ZOOKEEPER.srt 	ZOOKEEPER_DVS107 	00:22:14,00 --> 00:22:41,50 	now, three kids stand at the lion enclosure.
ZOOKEEPER.srt 	ZOOKEEPER_DVS133 	00:28:14,00 --> 00:28:21,50 	standing on their hind legs, the bears swap a look.
ZOOKEEPER.srt 	ZOOKEEPER_DVS139 	00:31:04,00 --> 00:31:11,50 	someone stands among them.
ZOOKEEPER.srt 	ZOOKEEPER_DVS182 	00:39:35,00 --> 00:39:39,50 	he stands.
ZOOKEEPER.srt 	ZOOKEEPER_DVS196 	00:44:30,00 --> 00:44:39,50 	now, as someone eats her lunch, someone stands at her desk.
ZOOKEEPER.srt 	ZOOKEEPER_DVS334 	01:14:43,00 --> 01:14:50,50 	now, someone finds someone standing outside the new eagle enclosure.
ZOOKEEPER.srt 	ZOOKEEPER_DVS377 	01:23:39,00 --> 01:23:44,50 	someone stands by the door.
ZOOKEEPER.srt 	ZOOKEEPER_DVS389 	01:27:17,00 --> 01:27:22,50 	someone stands behind a fence.
ZOOKEEPER.srt 	ZOOKEEPER_DVS432 	01:33:50,00 --> 01:33:55,50 	standing on a tall mound of boulders.
