21_JUMP_STREET.srt 	21_JUMP_STREET_DVS29 	00:03:22,00 --> 00:03:31,50 	the nerd enters the metropolitan city police academy wearing a blue uniform and takes his place in a registration line.
PROMETHEUS.srt 	PROMETHEUS_DVS687 	01:13:29,00 --> 01:13:40,50 	one of the smaller orbs takes its place and grows.
PROMETHEUS.srt 	PROMETHEUS_DVS744 	01:20:28,00 --> 01:20:33,50 	taking a few deep breaths she drifts off to sleep.
PROMETHEUS.srt 	PROMETHEUS_DVS810 	01:26:54,00 --> 01:27:02,50 	as the vehicle takes off, someone and someone arrive, dousing the mutant with fire and bullets.
PROMETHEUS.srt 	PROMETHEUS_DVS820 	01:27:44,00 --> 01:27:51,50 	he quickly takes off his white coat and wraps it around the half-naked woman.
PROMETHEUS.srt 	PROMETHEUS_DVS822 	01:27:52,00 --> 01:27:57,50 	he watches as the guard helps her take a seat.
PROMETHEUS.srt 	PROMETHEUS_DVS885 	01:38:01,00 --> 01:38:05,50 	someone takes off her helmet.
PROMETHEUS.srt 	PROMETHEUS_DVS891 	01:38:28,00 --> 01:38:33,50 	he takes off his headgear and hunches over.
PROMETHEUS.srt 	PROMETHEUS_DVS921 	01:41:24,00 --> 01:41:30,50 	the engineer takes a seat, then activates the star map.
PROMETHEUS.srt 	PROMETHEUS_DVS942 	01:43:44,00 --> 01:43:48,50 	someone stumbles but gets up and takes cover behind a rocky pillar.
PROMETHEUS.srt 	PROMETHEUS_DVS945 	01:44:33,00 --> 01:44:41,50 	someone puts on his baseball cap as he takes the helm.
PROMETHEUS.srt 	PROMETHEUS_DVS997 	01:49:23,00 --> 01:49:28,50 	facing forward, she reaches into low tool compartment and takes out a fire ax with a curved handle.
PROMETHEUS.srt 	PROMETHEUS_DVS1014 	01:50:52,00 --> 01:51:03,50 	she pounds a touchscreen, a tentacle shoots out through the med pod station doors lashes around the engineer's throat and tackles him, taking someone down with them.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS48 	00:08:08,00 --> 00:08:30,50 	a little boy in overalls comes up and takes her hand.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS48 	00:08:08,00 --> 00:08:30,50 	together, they wander a few steps without taking their eyes off of him.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS56 	00:09:48,00 --> 00:10:00,50 	floyd takes out a pistol which the lawman kicks out of his hand.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS107 	00:18:11,00 --> 00:18:19,50 	as they walk down a hall, suydam takes notes.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS112 	00:19:33,00 --> 00:19:39,50 	hoover motions for someone to take his place at the mic.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS116 	00:20:55,00 --> 00:21:02,50 	the scrawny someone takes a seat beside someone and leans close.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS130 	00:24:10,00 --> 00:24:18,50 	he takes her hand and she places her other hand on his shoulder.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS222 	00:41:19,00 --> 00:41:24,50 	he takes cover behind a garden plant.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS242 	00:44:40,00 --> 00:44:47,50 	pause taking in their surroundings.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS243 	00:44:48,00 --> 00:44:54,50 	older newcomer takes a seat, someone approaches.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS258 	00:48:44,00 --> 00:49:19,50 	now, in a hotel room, he opens the suitcase, takes out his someone gun, and cocks it.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS258 	00:48:44,00 --> 00:49:19,50 	the gang leader takes off his suit coat and handgun, then ambles to a set of closed double doors.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS365 	01:09:46,00 --> 01:10:04,50 	someone takes in the chalkboard-covered walls and the rows of men at desks chattering on telephones.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS446 	01:25:52,00 --> 01:25:56,50 	someone takes cover.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS451 	01:27:11,00 --> 01:27:17,50 	an adjacent windows shows a gangster taking aim.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS463 	01:28:43,00 --> 01:28:53,50 	hurt takes to higher ground while someone advances on the trail.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS508 	01:36:19,00 --> 01:36:47,50 	as someone dons her fur-collared coat, the newcomer takes someone's seat by the radio.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS585 	01:48:55,00 --> 01:49:01,50 	someone enters and takes a seat next to her.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS587 	01:49:25,00 --> 01:49:31,50 	he takes her hand and gazes into her eyes.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS610 	01:54:45,00 --> 01:54:49,50 	as he eagerly takes the call.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS648 	02:01:45,00 --> 02:02:05,50 	outside, the agents take their positions, someone and hurt ducking to a storefront's recessed entryway.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS649 	02:02:12,00 --> 02:02:37,50 	taking a deep breath, she manages a brave nod.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS652 	02:03:16,00 --> 02:03:45,50 	outside the theater, someone digs a box of matches from his pocket and takes one out.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS687 	02:08:50,00 --> 02:09:04,50 	she stares guardedly at him, then takes the seat facing his.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS701 	02:10:48,00 --> 02:10:55,50 	eyes closed, someone slowly shakes her head and takes a deep breath.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS71 	00:19:51,00 --> 00:19:57,50 	he offers the bloody oyster to someone who takes it.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS88 	00:23:35,00 --> 00:23:42,50 	one takes a golden emerald ring from a victim's finger.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS165 	00:40:19,00 --> 00:40:24,50 	someone takes his mistress's hand.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS168 	00:40:53,00 --> 00:41:00,50 	someone takes his mistress's hand.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS177 	00:42:30,00 --> 00:42:35,50 	taking the clydesdale's bridle,
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS192 	00:46:21,00 --> 00:46:27,50 	someone takes the french woman's hand.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS206 	00:49:54,00 --> 00:50:09,50 	someone takes the ring from the chancellor.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS244 	00:55:34,00 --> 00:55:44,50 	someone takes a seat and washes her feet, glancing uncomfortably at the archer.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS306 	01:14:21,00 --> 01:14:26,50 	they each take a swig of the friar's concoction.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS336 	01:22:32,00 --> 01:22:49,50 	he closes his hand over hers and stares into her eyes, taking in her earnest gaze.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS341 	01:23:21,00 --> 01:23:42,50 	he takes out a letter and offers it to the sheriff.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS456 	01:53:15,00 --> 01:53:39,50 	someone joyfully plants another kiss on his lips and takes a step back.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS480 	01:59:56,00 --> 02:00:00,50 	the archers take aim.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS68 	00:11:09,00 --> 00:11:14,50 	the young woman takes out a sketch book.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS84 	00:13:17,00 --> 00:13:23,50 	someone takes the shoe and drops it on the desk.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS98 	00:16:53,00 --> 00:16:58,50 	then takes both items downstairs.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS206 	00:34:20,00 --> 00:34:27,50 	seated on the crowded lawn, someone and someone each take a shot.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS250 	00:39:26,00 --> 00:39:30,50 	someone takes his phone back.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS380 	01:01:04,00 --> 01:01:11,50 	someone takes off her bike helmet and shakes out her hair.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS416 	01:04:47,00 --> 01:04:54,50 	someone sets down his newspaper, using his free hand to take another bite of cereal.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS426 	01:05:54,00 --> 01:06:00,50 	someone takes the tickets.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS467 	01:11:13,00 --> 01:11:18,50 	he lifts his gaze and takes a calming breath.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS474 	01:12:01,00 --> 01:12:08,50 	someone takes in her unstable state then sets down the dry cleaning.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS503 	01:18:01,00 --> 01:18:06,50 	as someone takes off her dress, someone peeks.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS511 	01:19:57,00 --> 01:20:03,50 	she takes off her dress then puts on another outfit.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS515 	01:20:43,00 --> 01:20:49,50 	he takes off his jacket and drapes it over the back of the chair.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS531 	01:22:18,00 --> 01:22:27,50 	someone glances aside then crosses to the desk and takes the page from his hand.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS595 	01:28:24,00 --> 01:28:32,50 	taking shallow breaths, he remains frozen in place.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS675 	01:37:45,00 --> 01:37:51,50 	someone takes the book from her then gives an awkward nod.
SALT.srt 	SALT_DVS21 	00:03:38,00 --> 00:03:50,50 	the unshaven man takes a step forward his expression inscrutable.
SALT.srt 	SALT_DVS42 	00:08:27,00 --> 00:08:34,50 	she places the ashtray and cigarettes on the table beside the defector then takes a seat opposite.
SALT.srt 	SALT_DVS132 	00:24:27,00 --> 00:24:31,50 	someone takes out the tactical team.
SALT.srt 	SALT_DVS224 	00:38:18,00 --> 00:38:25,50 	in the suv, someone takes a few steadying breaths.
SALT.srt 	SALT_DVS229 	00:39:20,00 --> 00:39:44,50 	it opens as it lands and she takes a pad.
SALT.srt 	SALT_DVS245 	00:42:05,00 --> 00:42:26,50 	taking his hand, she presses her lips to it.
SALT.srt 	SALT_DVS246 	00:42:34,00 --> 00:42:42,50 	on a hallway, the housekeeping woman removes garments from a rack of laundered clothes and takes them into a guest's room.
SALT.srt 	SALT_DVS249 	00:43:06,00 --> 00:43:20,50 	she removes a set of false teeth from her mouth then takes out a pair of darkly tinted contact lenses from her pale blue eyes.
SALT.srt 	SALT_DVS275 	00:48:20,00 --> 00:48:35,50 	the congregation and choir take their seats.
SALT.srt 	SALT_DVS282 	00:49:46,00 --> 00:49:59,50 	now matveyev takes the podium.
SALT.srt 	SALT_DVS339 	01:00:30,00 --> 01:00:38,50 	cradling his hand and both of hers, she takes a stroll with him across the salvage yard.
SALT.srt 	SALT_DVS469 	01:20:28,00 --> 01:20:43,50 	as someone removes his jacket, someone's gaze scans the room and takes in the dead body sprawled behind a control counter.
SALT.srt 	SALT_DVS515 	01:28:12,00 --> 01:28:25,50 	taking her into custody, an officer yanks down her shirt and finds a bulletproof vest.
SALT.srt 	SALT_DVS541 	01:33:11,00 --> 01:33:28,50 	he takes out his cell and eyes the display.
SANCTUM.srt 	SANCTUM_DVS34 	00:07:53,00 --> 00:07:59,50 	the balding man takes off his hat and faces someone.
SANCTUM.srt 	SANCTUM_DVS151 	00:31:41,00 --> 00:31:49,50 	he sits heavily beside his son, pulls the cork from his tequila bottle, and takes a swig.
SANCTUM.srt 	SANCTUM_DVS152 	00:31:49,00 --> 00:31:56,50 	with his head bowed, he holds the bottle out to someone who takes it and drinks.
SANCTUM.srt 	SANCTUM_DVS169 	00:34:41,00 --> 00:34:45,50 	someone takes the lead.
SANCTUM.srt 	SANCTUM_DVS237 	00:50:43,00 --> 00:51:01,50 	his father takes his hand, places it on the guide line, and gives the okay signal.
SANCTUM.srt 	SANCTUM_DVS399 	01:18:00,00 --> 01:18:08,50 	he scans the submerged cave, then takes off his bag and lets it fall to the ground.
SANCTUM.srt 	SANCTUM_DVS481 	01:29:18,00 --> 01:29:27,50 	now with their torches held out, the climbers take careful steps shuffling across muddy ground.
SANCTUM.srt 	SANCTUM_DVS537 	01:39:21,00 --> 01:39:28,50 	rise from the valve as he raises it to his lips and takes a hit.
SANCTUM.srt 	SANCTUM_DVS543 	01:40:11,00 --> 01:40:17,50 	he takes another hit from the tank, then continues on.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS89 	00:06:32,00 --> 00:06:37,50 	she takes the bag and holds it up.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS93 	00:06:45,00 --> 00:06:51,50 	she takes someone's hand.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS155 	00:11:33,00 --> 00:11:39,50 	someone takes up a pen and signs the bottom.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS168 	00:12:27,00 --> 00:12:33,50 	she takes part of it from its plastic encasement.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS172 	00:12:40,00 --> 00:12:45,50 	she takes it from its bag and holds it up with a frown.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS201 	00:14:33,00 --> 00:14:40,50 	she takes a step, then hunches over.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS208 	00:14:53,00 --> 00:14:58,50 	someone takes small steps.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS215 	00:15:16,00 --> 00:15:22,50 	someone takes a few small slow steps.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS311 	00:20:41,00 --> 00:20:45,50 	she takes out her phone and dials.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS343 	00:23:21,00 --> 00:23:26,50 	with someone at her side, the bride takes cautious steps over the threshold, then stops in front of her parents.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS367 	00:24:34,00 --> 00:24:40,50 	someone takes it, then lifts her gaze to her laotong's.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS420 	00:28:10,00 --> 00:28:16,50 	with his eyes averted from his wife, he takes a sip of tea.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS460 	00:30:16,00 --> 00:30:23,50 	now, someone opens a jewelry box drawer and takes out a paper fan.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS502 	00:32:40,00 --> 00:32:50,50 	hurrying to a sedan chair, she takes someone's arm as the woman exits the litter.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS520 	00:33:47,00 --> 00:33:52,50 	someone glances at her troubled friend, then takes her hands and shifts her gaze straight ahead.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS677 	00:44:24,00 --> 00:44:29,50 	someone takes a step closer.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS711 	00:46:49,00 --> 00:46:56,50 	later, in a classroom, someone sits amongst other students taking the test at their desks.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS759 	00:50:10,00 --> 00:50:16,50 	someone takes a couple of steps to the side, watching her friend go.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS769 	00:51:23,00 --> 00:51:28,50 	brightening, she takes it out and studies it.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS795 	00:53:18,00 --> 00:53:24,50 	someone takes her friend's hands and presses them against her heart.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS904 	00:59:06,00 --> 00:59:12,50 	the butcher hurries back to them, takes sacks from the old woman's back,
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS916 	00:59:38,00 --> 00:59:42,50 	he someone take care of your mama.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS939 	01:01:05,00 --> 01:01:12,50 	the two women share a tender look and someone takes her hand.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1019 	01:06:35,00 --> 01:06:39,50 	she takes a deep breath.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1042 	01:08:07,00 --> 01:08:17,50 	now at a bar lit dramatically by lemony yellow light bulbs, someone takes two shots onto the near empty dance floor and hands one to someone.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1056 	01:10:43,00 --> 01:10:47,50 	dancing couples take to the floor.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1067 	01:12:04,00 --> 01:12:12,50 	someone sets down his mic, takes someone's hand, and leads her to the dance floor where he yanks her in close.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1072 	01:12:28,00 --> 01:12:33,50 	someone takes a strained breath and bows her head.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1090 	01:14:32,00 --> 01:14:37,50 	someone faces her and takes her hand.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1139 	01:17:26,00 --> 01:17:33,50 	she takes a deep breath, then gently withdraws her hands from someone's trembling grasp.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1148 	01:18:09,00 --> 01:18:14,50 	someone takes another sopping wet article of
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1159 	01:18:40,00 --> 01:18:47,50 	she takes a deep breath as a breeze blows wisps of hair across her face.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1167 	01:19:11,00 --> 01:19:16,50 	someone takes it and studies it with a knitted brow.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1239 	01:23:12,00 --> 01:23:19,50 	the bride, her mother, and a few other guests take notice as she shuffles past the table.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1262 	01:25:17,00 --> 01:25:25,50 	someone steps through the doorway into the apartment and pauses to take in her surroundings with a grave expression.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1340 	01:32:00,00 --> 01:32:06,50 	taking them out, she reads the cover page "snowflower and the secret fan."
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1455 	01:38:35,00 --> 01:38:40,50 	someone takes someone's hand.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS54 	00:11:20,00 --> 00:11:26,50 	it takes on a man head and top hat.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS54 	00:11:20,00 --> 00:11:26,50 	he takes a breath and becomes real.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS80 	00:15:44,00 --> 00:15:49,50 	he takes socks from a bureau.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS174 	00:34:08,00 --> 00:34:21,50 	as someone hides around a corner, the strands of a beaded curtain take the someone by the neck and arms.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS233 	00:44:42,00 --> 00:44:49,50 	now on an outdoor bench, someone takes several sandwiches from a paper bag.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS237 	00:46:18,00 --> 00:46:23,50 	someone takes a deep breath and chases the mugger.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS244 	00:48:21,00 --> 00:48:28,50 	at the wall street bull sculpture, someone thoughtfully takes in his surrounding
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS253 	00:50:50,00 --> 00:51:05,50 	now, someone puts the scroll back and takes out a red-velvet bundle.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS294 	01:01:15,00 --> 01:01:21,50 	they both take a look at the bulldog gnawing at one of the tesla coils.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS309 	01:03:28,00 --> 01:03:34,50 	someone finishes taking a shower and towels dry.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS370 	01:18:02,00 --> 01:18:07,50 	someone gawks, taking in someone's words.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS405 	01:24:35,00 --> 01:24:41,50 	he takes in someone's sorry expression, then shuts his eyes.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS470 	01:39:36,00 --> 01:39:57,50 	taking a seat on one of the steps to the fountain, he thoughtfully raises his hands, then lets them flop back down.
SOUL_SURFER.srt 	SOUL_SURFER_DVS66 	00:23:51,00 --> 00:23:56,50 	he takes the cell from the vehicle, he dials a number.
SOUL_SURFER.srt 	SOUL_SURFER_DVS116 	00:39:06,00 --> 00:39:10,50 	someone takes a package of deli meat from the refrigerator.
SOUL_SURFER.srt 	SOUL_SURFER_DVS150 	00:46:12,00 --> 00:46:18,50 	someone takes the surfboard from his son.
SOUL_SURFER.srt 	SOUL_SURFER_DVS155 	00:46:35,00 --> 00:46:41,50 	someone takes up the board and rubs his father's shoulder.
SOUL_SURFER.srt 	SOUL_SURFER_DVS234 	01:12:06,00 --> 01:12:15,50 	as someone takes in her surroundings, someone glances over her shoulder, her stricken expression mirroring the team.
SOUL_SURFER.srt 	SOUL_SURFER_DVS249 	01:15:04,00 --> 01:15:12,50 	someone takes two bottles and hands some out to the kids.
SPARKLE_2012.srt 	SPARKLE_2012_DVS130 	00:21:26,00 --> 00:21:31,50 	he smiles, then takes her face in his hands.
SPARKLE_2012.srt 	SPARKLE_2012_DVS166 	00:27:59,00 --> 00:28:06,50 	he takes a flash photo of her, then lowers his camera and smiles.
SPARKLE_2012.srt 	SPARKLE_2012_DVS210 	00:33:31,00 --> 00:33:40,50 	he takes a seat at a booth with someone and their dates.
SPARKLE_2012.srt 	SPARKLE_2012_DVS214 	00:33:49,00 --> 00:33:54,50 	an mc steps to the stage and takes the mic.
SPARKLE_2012.srt 	SPARKLE_2012_DVS242 	00:37:45,00 --> 00:37:54,50 	someone takes a flash picture of sister.
SPARKLE_2012.srt 	SPARKLE_2012_DVS256 	00:39:43,00 --> 00:39:59,50 	someone takes a flash picture, and now they wear long black and white dresses in complimentary styles.
SPARKLE_2012.srt 	SPARKLE_2012_DVS285 	00:45:45,00 --> 00:45:50,50 	someone stares at them as they take their seats.
SPARKLE_2012.srt 	SPARKLE_2012_DVS375 	01:03:36,00 --> 01:03:41,50 	someone gently takes her hand.
SPARKLE_2012.srt 	SPARKLE_2012_DVS379 	01:03:47,00 --> 01:03:53,50 	someone takes sister by the hand and leads her out of the room.
SPARKLE_2012.srt 	SPARKLE_2012_DVS382 	01:04:11,00 --> 01:04:17,50 	someone takes her picture as she hurries into his arms.
SPARKLE_2012.srt 	SPARKLE_2012_DVS409 	01:08:55,00 --> 01:09:00,50 	she takes the notebook with her into the house.
SPARKLE_2012.srt 	SPARKLE_2012_DVS416 	01:09:39,00 --> 01:09:45,50 	someone takes a puff on his cigarette.
SPARKLE_2012.srt 	SPARKLE_2012_DVS442 	01:12:06,00 --> 01:12:11,50 	someone takes her in as she walks up to him.
SPARKLE_2012.srt 	SPARKLE_2012_DVS468 	01:17:02,00 --> 01:17:06,50 	someone takes her drink.
SPARKLE_2012.srt 	SPARKLE_2012_DVS488 	01:18:52,00 --> 01:18:57,50 	she takes the poker in her hands.
SPARKLE_2012.srt 	SPARKLE_2012_DVS550 	01:30:43,00 --> 01:30:50,50 	the receptionist watches someone take a seat on a long bench across the reception area.
SPARKLE_2012.srt 	SPARKLE_2012_DVS558 	01:31:32,00 --> 01:31:38,50 	as someone takes a look around, the door swings shut behind her.
SPARKLE_2012.srt 	SPARKLE_2012_DVS561 	01:32:00,00 --> 01:32:03,50 	she takes a seat.
SPARKLE_2012.srt 	SPARKLE_2012_DVS575 	01:34:33,00 --> 01:34:39,50 	she takes it out of her purse, unfolds it and shows it to the women.
SPARKLE_2012.srt 	SPARKLE_2012_DVS596 	01:38:04,00 --> 01:38:11,50 	someone takes a nervous breath, then blows out the candle and smiles.
SPARKLE_2012.srt 	SPARKLE_2012_DVS605 	01:39:24,00 --> 01:39:30,50 	someone takes a deep breath, then relaxes and leans closer.
SPARKLE_2012.srt 	SPARKLE_2012_DVS613 	01:39:52,00 --> 01:39:57,50 	sister takes the seat facing hers and slumps.
SPARKLE_2012.srt 	SPARKLE_2012_DVS632 	01:43:10,00 --> 01:43:18,50 	someone lays her hands over her heart, then faces a full-length mirror and takes in her own striking reflection.
SUPER_8.srt 	SUPER_8_DVS38 	00:05:07,00 --> 00:05:17,50 	the first boy takes out a pistol, but the blond boy knocks it away.
SUPER_8.srt 	SUPER_8_DVS56 	00:08:23,00 --> 00:08:29,50 	someone takes a swig from a beer bottle and glances at his son.
SUPER_8.srt 	SUPER_8_DVS96 	00:16:08,00 --> 00:16:14,50 	the short someone stands behind the camera as the actors take their positions.
SUPER_8.srt 	SUPER_8_DVS150 	00:23:41,00 --> 00:23:45,50 	someone takes out a revolver.
SUPER_8.srt 	SUPER_8_DVS162 	00:25:56,00 --> 00:26:02,50 	someone holds out one of the white cubes which is comprised of smaller cubes, someone takes it.
SUPER_8.srt 	SUPER_8_DVS210 	00:36:10,00 --> 00:36:17,50 	the sheriff lifts his head and gazes around himself then takes a few steps toward the road.
SUPER_8.srt 	SUPER_8_DVS272 	00:46:18,00 --> 00:46:24,50 	a white-haired man stands and takes the microphone.
SUPER_8.srt 	SUPER_8_DVS284 	00:51:05,00 --> 00:51:11,50 	someone and someone exchanged glances as someone takes the camera off the tripod.
SUPER_8.srt 	SUPER_8_DVS304 	00:54:21,00 --> 00:54:29,50 	leaping to his feet, he takes his flashlight out of his backpack and shines it across the cemetery onto a shed.
SUPER_8.srt 	SUPER_8_DVS353 	01:03:15,00 --> 01:03:21,50 	someone runs outside, grabs her bike, and takes off down the dark street.
SUPER_8.srt 	SUPER_8_DVS457 	01:20:46,00 --> 01:20:52,50 	someone holds the rifle in front of someone who glances at someone then takes the gun.
SUPER_8.srt 	SUPER_8_DVS516 	01:27:41,00 --> 01:27:47,50 	a blast takes out the wall next to the boys and knocks them to the floor.
SUPER_8.srt 	SUPER_8_DVS557 	01:33:19,00 --> 01:33:25,50 	someone takes out a cigarette lighter and tries to ignite it.
SUPER_8.srt 	SUPER_8_DVS664 	01:45:55,00 --> 01:46:00,50 	someone takes out a gun but someone knocks it away.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS41 	00:04:44,00 --> 00:04:49,50 	the thief takes a man's wallet out of the back of his pants.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS106 	00:14:51,00 --> 00:14:57,50 	he hits someone over the head with candlestick then takes the ship.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS114 	00:17:25,00 --> 00:17:32,50 	as someone takes out his key, snowy noses opens open someone's apartment door.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS140 	00:22:07,00 --> 00:22:13,50 	someone takes one of the inspectors' wallets.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS242 	00:37:02,00 --> 00:37:09,50 	stepping out of a door, someone takes a bottle from someone and sneaks up behind a thug with a gun.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS244 	00:37:09,00 --> 00:37:13,50 	someone takes it back and drinks.
